_id,date(mmm-yy),population_group,returned_from_housing,returned_to_shelter,newly_identified,moved_to_housing,became_inactive,actively_homeless,age__under_16,age_16-24,age_25-44,age_45-64,age_65over,gender_male,gender_female,"gender_transgender,non-binary_or_two_spirit",population_group_percentage_
1,jan-18,1,46,494,1106,508,862,7958,1233,1111,2901,2291,422,432,426,76,1
2,jan-18,2,11,29,317,111,111,2532,223,346,716,1000,247,192,107,28,0.318
3,jan-18,6,4,32,651,328,75,2408,914,241,961,270,22,156,141,11,0.303
4,jan-18,3,0,14,561,321,57,2277,1232,187,687,153,18,124,179,2,0.28600000000000003
5,jan-18,8,12,64,116,44,116,924,0,924,0,0,0,66,26,38,0.11599999999999999
6,jan-18,7,34,416,429,143,689,4757,0,0,2214,2138,404,292,174,38,0.598
7,jan-18,5,42,462,455,180,787,5550,319,870,1940,2021,400,307,280,67,0.6970000000000001
8,feb-18,1,78,481,947,489,757,8132,1271,1094,2971,2364,432,447,428,73,1
9,feb-18,2,11,31,217,152,73,2541,202,362,707,1017,253,193,106,25,0.312
10,feb-18,6,8,26,490,345,89,2491,965,253,951,303,19,159,151,12,0.306
11,feb-18,3,4,18,435,347,55,2336,1268,197,688,167,16,129,181,2,0.287
12,feb-18,8,19,45,91,28,131,893,0,893,0,0,0,58,22,33,0.11
13,feb-18,7,55,418,421,114,571,4903,0,0,2283,2197,416,299,182,40,0.603
14,feb-18,5,70,455,457,144,668,5641,306,841,2020,2061,413,315,282,63,0.6940000000000001
15,mar-18,1,64,489,1226,533,736,8607,1414,1115,3214,2429,435,453,431,78,1
16,mar-18,2,11,30,327,175,91,2614,226,377,728,1026,257,199,109,27,0.304
17,mar-18,6,11,24,715,340,70,2826,1121,250,1102,331,22,176,194,17,0.32799999999999996
18,mar-18,3,7,8,651,330,41,2636,1412,210,811,192,11,151,214,1,0.306
19,mar-18,8,17,64,99,44,108,905,0,905,0,0,0,68,17,38,0.105
20,mar-18,7,40,417,476,159,587,5066,0,0,2403,2237,424,305,187,41,0.589
21,mar-18,5,53,465,511,193,666,5781,293,865,2112,2098,413,328,281,63,0.672
22,apr-18,1,59,518,1305,652,760,9033,1615,1126,3377,2459,456,458,435,83,1
